recording_id,site_id,datetime,datetime_utc,sample_rate,duration,samples,file_size,bit_rate,sample_encoding,upload_time,meta,url
254013295,70857,06/30/2025 08:55:00,06/30/2025 05:55:00,48000,60,2880000,0,645843,flac,07/10/2025 09:34:11,"{""comment"":""GUANO|Version:1.0;Make:Open Acoustic Devices;Model:AudioMoth;Serial:24E1440163ED1DD7;Firmware Version:AudioMoth-Firmware-Basic (1.11.0);Timestamp:2025-06-30T05:55:00Z;Loc Position:56.978013 23.880022;OAD|Loc Source:Acoustic chime;Original Filename:20250630_055500.WAV;OAD|Recording Settings:48000 GAIN 2;OAD|Battery Voltage:3.8;Temperature Int:16.0"",""artist"":""AudioMoth"",""encoder"":""Lavf58.24.101"",""filename"":""20250630_055500.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2025/06/30/v40qrat0d8mi/ce78c00e-efed-4b30-b237-569c80722094.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20251210%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20251210T091246Z&X-Amz-Expires=604800&X-Amz-Signature=03df8b9807448e51860970f52bf17214823bf6b51304289f8f146037fcc8c455&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dce78c00e-efed-4b30-b237-569c80722094.flac&x-id=GetObject
254013296,70857,06/30/2025 16:05:00,06/30/2025 13:05:00,48000,60,2880000,0,643103,flac,07/10/2025 09:34:11,"{""comment"":""GUANO|Version:1.0;Make:Open Acoustic Devices;Model:AudioMoth;Serial:24E1440163ED1DD7;Firmware Version:AudioMoth-Firmware-Basic (1.11.0);Timestamp:2025-06-30T13:05:00Z;Loc Position:56.978013 23.880022;OAD|Loc Source:Acoustic chime;Original Filename:20250630_130500.WAV;OAD|Recording Settings:48000 GAIN 2;OAD|Battery Voltage:3.8;Temperature Int:21.2"",""artist"":""AudioMoth"",""encoder"":""Lavf58.24.101"",""filename"":""20250630_130500.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2025/06/30/v40qrat0d8mi/8d85660e-e82f-43c4-a158-4cbee856dd6d.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20251210%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20251210T091246Z&X-Amz-Expires=604800&X-Amz-Signature=96b972a0bc466a8d524e9f2787601e13ae54ac43d4d2e3c31fa6e3adda9a9283&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D8d85660e-e82f-43c4-a158-4cbee856dd6d.flac&x-id=GetObject
254013298,70857,06/30/2025 21:50:01,06/30/2025 18:50:01,48000,59,2832000,0,618410,flac,07/10/2025 09:34:12,"{""comment"":""GUANO|Version:1.0;Make:Open Acoustic Devices;Model:AudioMoth;Serial:24E1440163ED1DD7;Firmware Version:AudioMoth-Firmware-Basic (1.11.0);Timestamp:2025-06-30T18:50:01Z;Loc Position:56.978013 23.880022;OAD|Loc Source:Acoustic chime;Original Filename:20250630_185001.WAV;OAD|Recording Settings:48000 GAIN 2;OAD|Battery Voltage:3.8;Temperature Int:12.5"",""artist"":""AudioMoth"",""encoder"":""Lavf58.24.101"",""filename"":""20250630_185001.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2025/06/30/v40qrat0d8mi/7cde1f96-ad6a-45fe-8d1e-2eb32af6a2f5.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20251210%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20251210T091246Z&X-Amz-Expires=604800&X-Amz-Signature=446e8e2780f5de51876fdc02bc1e0c74bec6f44d063a67e241b62a437e9cf804&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D7cde1f96-ad6a-45fe-8d1e-2eb32af6a2f5.flac&x-id=GetObject
254013312,70857,06/30/2025 08:00:00,06/30/2025 05:00:00,48000,60,2880000,0,654660,flac,07/10/2025 09:34:14,"{""comment"":""GUANO|Version:1.0;Make:Open Acoustic Devices;Model:AudioMoth;Serial:24E1440163ED1DD7;Firmware Version:AudioMoth-Firmware-Basic (1.11.0);Timestamp:2025-06-30T05:00:00Z;Loc Position:56.978013 23.880022;OAD|Loc Source:Acoustic chime;Original Filename:20250630_050000.WAV;OAD|Recording Settings:48000 GAIN 2;OAD|Battery Voltage:3.8;Temperature Int:14.5"",""artist"":""AudioMoth"",""encoder"":""Lavf58.24.101"",""filename"":""20250630_050000.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2025/06/30/v40qrat0d8mi/6556bb19-47a0-4b47-a914-2290d9ac6676.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20251210%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20251210T091246Z&X-Amz-Expires=604800&X-Amz-Signature=876bb87e2569b6e0ea8e5a3b347b29a8700be66934e7b4649d61991c45b03ad3&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D6556bb19-47a0-4b47-a914-2290d9ac6676.flac&x-id=GetObject
254013322,70857,06/30/2025 09:00:00,06/30/2025 06:00:00,48000,60,2880000,0,670125,flac,07/10/2025 09:34:16,"{""comment"":""GUANO|Version:1.0;Make:Open Acoustic Devices;Model:AudioMoth;Serial:24E1440163ED1DD7;Firmware Version:AudioMoth-Firmware-Basic (1.11.0);Timestamp:2025-06-30T06:00:00Z;Loc Position:56.978013 23.880022;OAD|Loc Source:Acoustic chime;Original Filename:20250630_060000.WAV;OAD|Recording Settings:48000 GAIN 2;OAD|Battery Voltage:3.8;Temperature Int:16.6"",""artist"":""AudioMoth"",""encoder"":""Lavf58.24.101"",""filename"":""20250630_060000.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2025/06/30/v40qrat0d8mi/ef8ecaf5-1263-4858-9ffa-0abd46de8eb5.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20251210%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20251210T091246Z&X-Amz-Expires=604800&X-Amz-Signature=c8cfdca463fcd8b6e69aabeeda896ea5d75456ddaa0c6767c689c7e5ad5bfa3d&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Def8ecaf5-1263-4858-9ffa-0abd46de8eb5.flac&x-id=GetObject
254013323,70857,06/30/2025 09:10:00,06/30/2025 06:10:00,48000,60,2880000,0,608997,flac,07/10/2025 09:34:17,"{""comment"":""GUANO|Version:1.0;Make:Open Acoustic Devices;Model:AudioMoth;Serial:24E1440163ED1DD7;Firmware Version:AudioMoth-Firmware-Basic (1.11.0);Timestamp:2025-06-30T06:10:00Z;Loc Position:56.978013 23.880022;OAD|Loc Source:Acoustic chime;Original Filename:20250630_061000.WAV;OAD|Recording Settings:48000 GAIN 2;OAD|Battery Voltage:3.8;Temperature Int:15.8"",""artist"":""AudioMoth"",""encoder"":""Lavf58.24.101"",""filename"":""20250630_061000.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2025/06/30/v40qrat0d8mi/f2cf0d37-bc68-474e-a3f6-dd53668cf7fe.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20251210%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20251210T091246Z&X-Amz-Expires=604800&X-Amz-Signature=ca247c72072bd7042e7b5b92f674e66f48e056a5f15051152123734d2f0e9445&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Df2cf0d37-bc68-474e-a3f6-dd53668cf7fe.flac&x-id=GetObject
254013328,70857,06/30/2025 22:45:00,06/30/2025 19:45:00,48000,60,2880000,0,640478,flac,07/10/2025 09:34:18,"{""comment"":""GUANO|Version:1.0;Make:Open Acoustic Devices;Model:AudioMoth;Serial:24E1440163ED1DD7;Firmware Version:AudioMoth-Firmware-Basic (1.11.0);Timestamp:2025-06-30T19:45:00Z;Loc Position:56.978013 23.880022;OAD|Loc Source:Acoustic chime;Original Filename:20250630_194500.WAV;OAD|Recording Settings:48000 GAIN 2;OAD|Battery Voltage:3.8;Temperature Int:12.0"",""artist"":""AudioMoth"",""encoder"":""Lavf58.24.101"",""filename"":""20250630_194500.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2025/06/30/v40qrat0d8mi/f01a7e55-ad71-43b2-a554-1142d17f5144.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20251210%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20251210T091246Z&X-Amz-Expires=604800&X-Amz-Signature=b813331321e7ae9282e77d2a2ad7ffd9e6c31a0f1f245b91546fc271ad925a99&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Df01a7e55-ad71-43b2-a554-1142d17f5144.flac&x-id=GetObject
254013329,70857,06/30/2025 09:50:00,06/30/2025 06:50:00,48000,60,2880000,0,600217,flac,07/10/2025 09:34:18,"{""comment"":""GUANO|Version:1.0;Make:Open Acoustic Devices;Model:AudioMoth;Serial:24E1440163ED1DD7;Firmware Version:AudioMoth-Firmware-Basic (1.11.0);Timestamp:2025-06-30T06:50:00Z;Loc Position:56.978013 23.880022;OAD|Loc Source:Acoustic chime;Original Filename:20250630_065000.WAV;OAD|Recording Settings:48000 GAIN 2;OAD|Battery Voltage:3.8;Temperature Int:20.2"",""artist"":""AudioMoth"",""encoder"":""Lavf58.24.101"",""filename"":""20250630_065000.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2025/06/30/v40qrat0d8mi/d48f721c-9809-4057-9069-2e0e6683825c.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20251210%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20251210T091246Z&X-Amz-Expires=604800&X-Amz-Signature=bf94e71094cc8269a55bbb38d32658d0f52e7173e4ed60ff7b1cd5654f7e543c&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dd48f721c-9809-4057-9069-2e0e6683825c.flac&x-id=GetObject
254013330,70857,06/30/2025 23:20:00,06/30/2025 20:20:00,48000,60,2880000,0,584906,flac,07/10/2025 09:34:18,"{""comment"":""GUANO|Version:1.0;Make:Open Acoustic Devices;Model:AudioMoth;Serial:24E1440163ED1DD7;Firmware Version:AudioMoth-Firmware-Basic (1.11.0);Timestamp:2025-06-30T20:20:00Z;Loc Position:56.978013 23.880022;OAD|Loc Source:Acoustic chime;Original Filename:20250630_202000.WAV;OAD|Recording Settings:48000 GAIN 2;OAD|Battery Voltage:3.8;Temperature Int:12.0"",""artist"":""AudioMoth"",""encoder"":""Lavf58.24.101"",""filename"":""20250630_202000.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2025/06/30/v40qrat0d8mi/4f96f285-1481-425a-9510-011f7673e892.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20251210%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20251210T091246Z&X-Amz-Expires=604800&X-Amz-Signature=9fe34844066047acfbd599dcd4837836c3537141dee7743f0f2a50615ec3d1ce&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D4f96f285-1481-425a-9510-011f7673e892.flac&x-id=GetObject
254013331,70857,06/30/2025 17:45:00,06/30/2025 14:45:00,48000,60,2880000,0,628134,flac,07/10/2025 09:34:18,"{""comment"":""GUANO|Version:1.0;Make:Open Acoustic Devices;Model:AudioMoth;Serial:24E1440163ED1DD7;Firmware Version:AudioMoth-Firmware-Basic (1.11.0);Timestamp:2025-06-30T14:45:00Z;Loc Position:56.978013 23.880022;OAD|Loc Source:Acoustic chime;Original Filename:20250630_144500.WAV;OAD|Recording Settings:48000 GAIN 2;OAD|Battery Voltage:3.8;Temperature Int:18.0"",""artist"":""AudioMoth"",""encoder"":""Lavf58.24.101"",""filename"":""20250630_144500.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2025/06/30/v40qrat0d8mi/60d7b3d8-1feb-403d-b860-30cd9505c9f4.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20251210%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20251210T091246Z&X-Amz-Expires=604800&X-Amz-Signature=beb56b1808381bde1c182b44eec2557e75d60c05f241a0e8d7c5f6c5c6262f6d&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D60d7b3d8-1feb-403d-b860-30cd9505c9f4.flac&x-id=GetObject
